UniqueCarrier,Total_Flights,Avg_Delay,Delayed_Flights,Cancelled_Flights,Carrier_Delay,Weather_Delay,NAS_Delay,LateAircraft_Delay,Delay_Rate,On_Time_Rate
OH,4364,38.93790100824931,2941,0,18.508707607699357,8.870531622364803,8.377635197066912,2.2195233730522457,67.39,32.61
OO,15326,60.64654834921049,11570,0,17.11111836095524,5.122145373874462,15.892209317499674,21.219626778024274,75.49,24.51
UA,14970,53.9999331997328,10624,0,13.722311289245157,1.7859719438877755,12.518704074816299,25.22317969271877,70.97,29.03
US,9694,29.440272333402106,5140,0,9.103259748297916,0.6367856406024345,7.17990509593563,12.020218691974417,53.02,46.98
WN,30733,29.78908664952982,16424,0,5.494126834347444,1.246542804151889,3.819412358051606,17.647252139394137,53.44,46.56
XE,10260,43.991423001949315,6834,0,10.445029239766082,1.528167641325536,11.639376218323587,19.02504873294347,66.61,33.39
YV,5904,62.82164634146341,4546,0,31.116531165311653,3.230521680216802,11.870088075880759,15.399390243902438,77.0,23.0
